Speed,Stage,Event,Finish,Distance,Winner, 
"57,325",Tour de France 2005 - Stage 4 TTT,Team time trial,Blois,67.5,Discovery Channel (-2007),
"55,645",Tour de France 2011 - Stage 2 TTT,Team time trial,Les Essarts,23,Garmin,
"55,267",Tour de France 1994 - Prologue ITT,Individual time trial,Euralille,7.2,Chris Boardman,
"54,943",Tour de France 1995 - Stage 3 TTT,Team time trial,Alençon,67,Gewiss (-1996),
"54,545",Tour de France 1989 - Stage21 ITT,Individual time trial,Paris,24.5,Greg Lemond,
"54,361",Tour de France 2003 - Stage 19 ITT,Individual time trial,Nantes,49,David Millar,
"54,201",Tour de France 1987 - Stage2 TTT,Team time trial,West Berlin,40.5,Carrera (-1996),
"54,194",Tour de France 1998 - Prologue ITT,Individual time trial,Dublin,5.6,Chris Boardman,
"53,986",Tour de France 2000 - Stage 19 ITT,Individual time trial,Mulhouse,58.5,Lance Armstrong,
"53,713",Tour de France 2004 - Stage 4 TTT,Team time trial,Arras,64.5,US Postal (-2004),
"53,660",Tour de France 2007 - Prologue ITT,Individual time trial,London,7.9,Fabian Cancellara,
"53,561",Tour de France 2004 - Prologue ITT,Individual time trial,Liège,6.1,Fabian Cancellara,
"53,400",Tour de France 2010 - Prologue ITT,Individual time trial,Rotterdam,8.9,Fabian Cancellara,
"53,210",Tour de France 2012 - Prologue ITT,Individual time trial,Liège,6.4,Fabian Cancellara,
"52,920",Tour de France 1991 - Stage2 TTT,Team time trial,Chassieu Eurexpo,36.5,Ariostea (-1993),
"52,772",Tour de France 2003 - Stage 4 TTT,Team time trial,Saint-Dizier,69,US Postal (-2004),
"52,660",Tour de France 2001 - Prologue ITT,Individual time trial,Dunkirk,8.2,Christophe Moreau,
"52,560",Tour de France 1997 - Prologue ITT,Individual time trial,Rouen,7.3,Chris Boardman,
"52,448",Tour de France 2003 - Prologue ITT,Individual time trial,Paris,6.5,Bradley McGee,
"52,399",Tour de France 1991 - Prologue ITT,Individual time trial,Lyon,5.4,Thierry Marie,
"52,372",Tour de France 2007 - Stage 19 ITT,Individual time trial,Angoulême,55.5,Cadel Evans,
"52,352",Tour de France 1992 - Stage19 ITT,Individual time trial,Blois,64.0,Miguel Induráin,
"52,014",Tour de France 1992 - Stage4 TTT,Team time trial,Libourne,63.5,Panasonic (-1992),
"51,969",Tour de France 2000 - Stage 1 ITT,Individual time trial,Futuroscope,16.5,David Millar,
"51,876",Tour de France 1988 - Stage2 TTT,Team time trial,Ancenis,48,Panasonic (-1992),
"51,822",Tour de France 1996 - Prologue ITT,Individual time trial,"'s-Hertogenbosch",9.4,Alex Zülle,
"51,799",Tour de France 1981 - Stage1b TTT,Team time trial,Nice,40,T.I. Raleigh - Campagnolo (-1983),
"51,611",Tour de France 1993 - Stage 4 TTT,Team time trial,Avranches,81,GB - MG (-1994),
"51,589",Tour de France 1986 - Prologue ITT,Individual time trial,Boulogne-Billancourt,4.6,Thierry Marie,
"51,549",Tour de France 1987 - Prologue ITT,Individual time trial,West Berlin,6.1,Jelle Nijdam,
"51,429",Tour de France 2006 - Prologue ITT,Individual time trial,Strasbourg,7.1,Thor Hushovd,
"51,301",Tour de France 1989 - Stage2 TTT,Team time trial,Luxembourg,46,"Systeme ""U"" (-1989)",
"51,246",Tour de France 1992 - Prologue ITT,Individual time trial,San Sebastián,8,Miguel Induráin,
"51,204",Tour de France 2010 - Stage 19 ITT,Individual time trial,Pauillac,52,Fabian Cancellara,
"51,176",Tour de France 1981 - Prologue ITT,Individual time trial,Nice,5.8,Bernard Hinault,
"51,126",Tour de France 1980 - Stage1b TTT,Team time trial,Frankfurt am Main,45.8,T.I. Raleigh - Campagnolo (-1983),
"50,788",Tour de France 1999 - Prologue ITT,Individual time trial,Le Puy-du-Fou,6.8,Lance Armstrong,
